Income,Essentials,Lifestyle,Loan,TotalExpenses,Savings,Overspending
14119,8955,2309,273,11537,2582,1
5607,2351,1431,1214,4996,611,1
10795,6532,2438,298,9268,1527,1
7928,3217,795,1388,5400,2528,0
5268,2746,1586,1510,5842,-574,1
6810,3448,1476,131,5055,1755,0
6971,3684,1678,958,6320,651,1
9496,4525,2910,854,8289,1207,1
6214,3243,1892,904,6039,175,1
4779,2254,1619,1189,5062,-283,1
5189,2077,1047,592,3716,1473,0
11054,7441,2414,1227,11082,-28,1
13736,6897,2919,3698,13514,222,1
12809,8125,2803,2854,13782,-973,1
7034,3217,1641,1979,6837,197,1
8924,5284,3518,2174,10976,-2052,1
4899,2419,1234,1289,4942,-43,1
13546,5712,3319,3295,12326,1220,1
11258,7198,4127,1146,12471,-1213,1
7897,4605,1821,557,6983,914,1
5383,3068,607,925,4600,783,1
4411,2003,574,983,3560,851,1
9514,5357,3712,2718,11787,-2273,1
11808,7079,1702,2372,11153,655,1
14089,9466,2777,583,12826,1263,1
8997,5832,1217,1234,8283,714,1
10629,4486,3606,2811,10903,-274,1
12010,6453,4336,3435,14224,-2214,1
9881,5483,3049,889,9421,460,1
13705,6388,2047,829,9264,4441,0
4350,2905,625,26,3556,794,1
11804,5696,1877,2469,10042,1762,1
9082,4362,1034,2678,8074,1008,1
12559,6884,4634,2299,13817,-1258,1
11503,4988,2618,465,8071,3432,0
9365,5886,2965,1095,9946,-581,1
14147,7226,2964,2621,12811,1336,1
11183,7299,3287,175,10761,422,1
13509,6585,1607,282,8474,5035,0
10941,6629,1234,1884,9747,1194,1
14034,9395,1466,482,11343,2691,1
14551,7627,2169,191,9987,4564,0
9747,4695,3800,923,9418,329,1
6689,3339,1975,771,6085,604,1
12955,6737,2022,2560,11319,1636,1
4919,2723,1133,20,3876,1043,0
11271,7662,2740,2530,12932,-1661,1
11160,7113,3488,2790,13391,-2231,1
6267,3445,2341,493,6279,-12,1
5825,2900,688,1230,4818,1007,1
14692,8148,1733,3115,12996,1696,1
4953,2607,722,446,3775,1178,0
5696,2763,1234,415,4412,1284,0
12113,7316,4486,1244,13046,-933,1
13403,6047,2562,3114,11723,1680,1
9154,4296,3357,1483,9136,18,1
7077,3356,2393,308,6057,1020,1
6047,3984,1105,940,6029,18,1
13187,6092,4666,3713,14471,-1284,1
14662,9803,3578,3007,16388,-1726,1
13760,5521,1420,3690,10631,3129,0
14902,7496,2868,3328,13692,1210,1
13305,7698,2545,3808,14051,-746,1
4422,2511,627,175,3313,1109,0
4352,2809,555,542,3906,446,1
14032,9683,1687,3255,14625,-593,1
7148,4328,1464,791,6583,565,1
9699,5746,1763,1587,9096,603,1
6252,3014,1204,1212,5430,822,1
9209,4819,1042,131,5992,3217,0
7665,4483,2070,1623,8176,-511,1
12588,8544,3257,441,12242,346,1
6260,3922,1942,41,5905,355,1
7002,3486,2394,1646,7526,-524,1
5010,2303,1672,115,4090,920,1
12406,8514,1745,915,11174,1232,1
12595,7543,3677,920,12140,455,1
13467,8798,2207,3345,14350,-883,1
8239,4536,1930,1847,8313,-74,1
9542,5862,1772,1889,9523,19,1
12317,5706,3334,1650,10690,1627,1
12137,5882,1458,1883,9223,2914,0
10221,4984,2234,2857,10075,146,1
7542,4471,2654,871,7996,-454,1
11168,4686,3833,3121,11640,-472,1
14115,9462,4836,123,14421,-306,1
11820,7130,2089,776,9995,1825,1
14324,8552,1610,200,10362,3962,0
12572,7129,1916,168,9213,3359,0
11760,7537,2909,1630,12076,-316,1
5098,3500,1559,754,5813,-715,1
10283,6268,3398,1246,10912,-629,1
4566,2477,1741,747,4965,-399,1
8903,4830,2310,2613,9753,-850,1
6596,3093,2302,577,5972,624,1
4857,3134,1059,987,5180,-323,1
13190,7392,4844,2282,14518,-1328,1
6787,2900,1920,249,5069,1718,0
8705,4268,2106,752,7126,1579,1
7838,4200,2372,52,6624,1214,1
5739,3219,1463,489,5171,568,1
9883,4640,2137,330,7107,2776,0
4113,2360,757,295,3412,701,1
14173,8593,5033,2165,15791,-1618,1
6248,3646,1413,1517,6576,-328,1
4170,2515,1260,524,4299,-129,1
8776,5954,1324,488,7766,1010,1
14959,9125,3304,4124,16553,-1594,1
7972,5297,1870,1773,8940,-968,1
7114,4340,2299,450,7089,25,1
8816,4728,3255,1604,9587,-771,1
13187,8287,1744,1613,11644,1543,1
9055,3775,3264,1161,8200,855,1
9238,5504,1680,1039,8223,1015,1
11075,4469,2070,990,7529,3546,0
13725,8428,4427,3956,16811,-3086,1
10786,6300,3574,2267,12141,-1355,1
12360,6155,1890,634,8679,3681,0
7599,4779,1775,2071,8625,-1026,1
6068,3205,1942,197,5344,724,1
13835,8266,2709,3816,14791,-956,1
8712,3640,2810,2311,8761,-49,1
12160,5802,1561,2342,9705,2455,0
8655,4761,3380,1219,9360,-705,1
12920,8645,3916,138,12699,221,1
5123,3566,1622,700,5888,-765,1
10180,6976,2852,105,9933,247,1
10184,6468,3923,538,10929,-745,1
13683,8224,1582,1547,11353,2330,1
6259,3668,2159,220,6047,212,1
12126,6206,3447,2799,12452,-326,1
8245,4048,1971,155,6174,2071,0
14702,8326,3341,874,12541,2161,1
10087,5302,2953,2490,10745,-658,1
10476,6427,4071,2809,13307,-2831,1
8801,4504,2413,614,7531,1270,1
4576,2205,1240,820,4265,311,1
12086,7109,3529,3593,14231,-2145,1
13072,8058,2592,3738,14388,-1316,1
10435,4323,3667,1295,9285,1150,1
5534,2396,1155,1614,5165,369,1
5799,2356,1289,846,4491,1308,0
4358,2479,1344,385,4208,150,1
6346,2585,1391,1611,5587,759,1
13563,8235,2094,2328,12657,906,1
8239,3635,1954,788,6377,1862,0
5360,3503,845,1261,5609,-249,1
7470,5056,1945,225,7226,244,1
11601,7998,2827,668,11493,108,1
12246,5311,2683,2145,10139,2107,1
10228,5360,1986,1931,9277,951,1
7840,5451,1044,2065,8560,-720,1
7585,4389,1488,308,6185,1400,1
8617,3990,2577,1785,8352,265,1
8230,4355,2011,322,6688,1542,1
13616,8968,1940,3723,14631,-1015,1
12603,8731,4207,3637,16575,-3972,1
14300,9382,5105,1803,16290,-1990,1
7091,3907,1595,810,6312,779,1
10311,5312,3750,450,9512,799,1
7699,3258,2239,1665,7162,537,1
10785,6424,2596,1332,10352,433,1
9255,4436,2408,712,7556,1699,1
9767,5178,3763,2156,11097,-1330,1
5476,3804,867,1084,5755,-279,1
7762,4785,1590,274,6649,1113,1
5279,3051,2031,661,5743,-464,1
13809,8948,3611,2195,14754,-945,1
4804,2221,1337,1391,4949,-145,1
9777,6817,3391,1326,11534,-1757,1
5708,3456,2280,46,5782,-74,1
8724,5991,982,1907,8880,-156,1
6124,3808,1419,854,6081,43,1
13910,8317,2262,4051,14630,-720,1
10528,5540,4112,529,10181,347,1
4795,3319,813,395,4527,268,1
7358,2970,1421,2123,6514,844,1
6356,2859,1917,1439,6215,141,1
13695,5608,2234,1742,9584,4111,0
10638,6992,4078,2279,13349,-2711,1
6769,3354,2329,1902,7585,-816,1
9631,4023,2849,2081,8953,678,1
7864,4794,3134,1967,9895,-2031,1
12963,5450,1699,399,7548,5415,0
6053,3286,761,549,4596,1457,0
9670,5619,3555,1641,10815,-1145,1
8136,4924,2323,1124,8371,-235,1
6814,3859,1863,1532,7254,-440,1
6490,2632,1858,1263,5753,737,1
5979,3392,2118,722,6232,-253,1
8705,3774,937,573,5284,3421,0
4886,3192,667,271,4130,756,1
13713,7935,4225,221,12381,1332,1
7390,4776,1828,1774,8378,-988,1
10367,4614,2624,3086,10324,43,1
10495,5428,2271,2781,10480,15,1
10381,4174,2671,460,7305,3076,0
5064,2144,927,1325,4396,668,1
6470,3211,1577,337,5125,1345,0
14153,8443,2344,3965,14752,-599,1
14478,8608,1575,3386,13569,909,1
14747,9629,4425,4414,18468,-3721,1
4718,2775,1511,1304,5590,-872,1
10225,5677,2145,706,8528,1697,1
13174,7730,1336,3233,12299,875,1
9193,6164,1713,2615,10492,-1299,1
13223,6070,1798,2949,10817,2406,1
6156,3007,1485,659,5151,1005,1
6127,2692,1793,581,5066,1061,1
12881,8987,2696,312,11995,886,1
9517,6415,1381,764,8560,957,1
5216,2556,2079,987,5622,-406,1
9932,4589,1874,2128,8591,1341,1
7097,4734,2371,635,7740,-643,1
10423,7089,2740,2901,12730,-2307,1
14010,6678,4367,617,11662,2348,1
9533,6509,1236,1433,9178,355,1
9415,5602,1506,2529,9637,-222,1
13606,7274,3261,1549,12084,1522,1
5929,3778,1130,831,5739,190,1
9836,5141,1218,2098,8457,1379,1
5661,3808,957,1582,6347,-686,1
5967,3018,1476,880,5374,593,1
10027,4856,3504,231,8591,1436,1
12210,6028,1753,3026,10807,1403,1
11428,5271,2032,646,7949,3479,0
8897,3757,1740,1967,7464,1433,1
13649,6402,1472,3527,11401,2248,1
14098,9407,1482,3838,14727,-629,1
11701,5709,4514,12,10235,1466,1
9885,6068,1321,2292,9681,204,1
4398,2044,1683,1069,4796,-398,1
5960,2729,1554,1725,6008,-48,1
11788,5224,4086,2834,12144,-356,1
7356,3750,1658,396,5804,1552,0
8182,5096,1821,340,7257,925,1
14283,8089,2563,3549,14201,82,1
10429,5432,2657,216,8305,2124,0
6761,4626,2358,1028,8012,-1251,1
12343,6022,1349,2310,9681,2662,0
8450,5781,2127,1673,9581,-1131,1
7297,3973,1939,2124,8036,-739,1
10962,6050,3010,2330,11390,-428,1
11433,5180,3825,398,9403,2030,1
12103,8238,3997,3270,15505,-3402,1
7328,4337,1556,83,5976,1352,1
7410,3634,2700,1142,7476,-66,1
12295,8544,1843,2082,12469,-174,1
11069,5426,2999,579,9004,2065,1
8112,5237,1565,565,7367,745,1
14748,7087,1597,1822,10506,4242,0
13416,6081,2403,103,8587,4829,0
11448,7947,2314,1074,11335,113,1
11165,7345,3472,580,11397,-232,1
10103,4344,1616,1036,6996,3107,0
14612,8482,5290,2888,16660,-2048,1
12661,6532,1784,1390,9706,2955,0
14496,7971,5027,3135,16133,-1637,1
13821,8565,4448,2739,15752,-1931,1
14469,6989,3616,701,11306,3163,0
7675,5365,1706,1465,8536,-861,1
6535,4022,1988,360,6370,165,1
12181,5256,3980,3016,12252,-71,1
11708,7332,3643,2554,13529,-1821,1
11893,5097,3088,2910,11095,798,1
8953,4354,2022,465,6841,2112,0
14661,7772,5723,2674,16169,-1508,1
6789,4129,1257,97,5483,1306,1
4293,2432,754,412,3598,695,1
5552,3297,1709,702,5708,-156,1
13231,6838,1695,2531,11064,2167,1
12663,7154,3913,1386,12453,210,1
6096,2531,1718,1435,5684,412,1
11152,7494,1824,1401,10719,433,1
4134,1920,700,365,2985,1149,0
7186,3264,1779,1330,6373,813,1
7559,3900,1571,326,5797,1762,0
6841,3581,1951,549,6081,760,1
13112,5908,4840,1234,11982,1130,1
10960,5182,3874,885,9941,1019,1
9384,5779,2688,489,8956,428,1
12403,5722,1242,2652,9616,2787,0
6933,3075,2133,2041,7249,-316,1
14903,7551,2114,1160,10825,4078,0
11714,6683,1352,1269,9304,2410,0
4337,1809,1725,819,4353,-16,1
14532,6831,1974,4127,12932,1600,1
14429,7671,3791,2869,14331,98,1
7328,3666,2039,293,5998,1330,1
7997,5223,1333,1467,8023,-26,1
10597,7305,2393,1433,11131,-534,1
10530,5358,1692,891,7941,2589,0
14482,9823,3561,869,14253,229,1
6370,3453,1932,963,6348,22,1
7240,4791,1870,766,7427,-187,1
5615,2442,1231,1125,4798,817,1
4134,2433,1223,594,4250,-116,1
6955,3873,2313,581,6767,188,1
14749,9548,2637,1136,13321,1428,1
13977,6760,4855,454,12069,1908,1
12017,4820,4429,3,9252,2765,0
4140,2733,1554,619,4906,-766,1
5434,2720,1310,848,4878,556,1
14783,9444,2660,2021,14125,658,1
9242,3950,2136,83,6169,3073,0
5115,2114,1766,1117,4997,118,1
11701,7812,3870,3344,15026,-3325,1
9539,5227,2175,1104,8506,1033,1
11388,7370,3557,437,11364,24,1
10944,6188,1790,475,8453,2491,0
14684,7749,3663,3384,14796,-112,1
9460,5223,1263,2212,8698,762,1
14843,7503,5454,1223,14180,663,1
12426,7519,2078,1314,10911,1515,1
4912,2876,1901,489,5266,-354,1
6791,4425,2685,356,7466,-675,1
4701,2095,1099,1278,4472,229,1
4060,2505,622,97,3224,836,0
11702,5264,3134,2238,10636,1066,1
10647,7265,3028,2743,13036,-2389,1
12888,6726,5079,3032,14837,-1949,1
5631,3281,1039,302,4622,1009,1
14172,9565,2442,3023,15030,-858,1
14531,9205,1846,215,11266,3265,0
4189,2720,432,347,3499,690,1
12512,6710,3517,607,10834,1678,1
12803,5340,3087,2187,10614,2189,1
4680,2370,1686,395,4451,229,1
8908,3785,1960,1177,6922,1986,0
5931,3656,918,1140,5714,217,1
8195,4514,1612,814,6940,1255,1
13101,8960,3252,133,12345,756,1
14623,10176,4825,4194,19195,-4572,1
13235,6599,3586,1569,11754,1481,1
13078,5696,3451,42,9189,3889,0
13629,5681,4776,1207,11664,1965,1
9838,4244,1730,757,6731,3107,0
5354,3024,1489,632,5145,209,1
9860,5914,1912,1309,9135,725,1
6381,3538,2143,625,6306,75,1
6672,2797,1210,722,4729,1943,0
13880,6650,3974,4100,14724,-844,1
12741,6578,4747,677,12002,739,1
5599,2610,901,315,3826,1773,0
5232,2702,1870,651,5223,9,1
9064,6311,2586,1530,10427,-1363,1
13859,6794,2713,821,10328,3531,0
6393,3316,1360,915,5591,802,1
10027,6947,2290,2179,11416,-1389,1
8239,4559,953,902,6414,1825,0
11278,6389,1183,1524,9096,2182,1
7437,3933,839,515,5287,2150,0
11820,7639,2484,1516,11639,181,1
5191,3624,1210,246,5080,111,1
14082,7499,3256,3349,14104,-22,1
12119,6174,3969,1370,11513,606,1
4090,1686,577,53,2316,1774,0
13192,9200,4073,1979,15252,-2060,1
5423,3057,884,1599,5540,-117,1
4883,3303,756,559,4618,265,1
10505,4299,3352,677,8328,2177,0
10370,6100,1979,29,8108,2262,0
12262,5753,4733,2489,12975,-713,1
8685,5911,1091,1915,8917,-232,1
9275,3876,1590,420,5886,3389,0
6592,4199,2283,1483,7965,-1373,1
4294,2541,1332,664,4537,-243,1
7172,3043,1645,810,5498,1674,0
8570,4612,2385,454,7451,1119,1
6990,4059,2188,1053,7300,-310,1
6651,2950,2362,34,5346,1305,1
7619,3203,2294,1607,7104,515,1
7775,3659,2456,977,7092,683,1
13154,6915,4981,3173,15069,-1915,1
10974,6016,2539,2341,10896,78,1
4605,2909,1821,1233,5963,-1358,1
7069,3606,2022,260,5888,1181,1
7293,4753,1933,1445,8131,-838,1
5172,3253,1996,1255,6504,-1332,1
11957,7814,1518,213,9545,2412,0
9469,4803,1869,2052,8724,745,1
13667,9389,4713,350,14452,-785,1
6150,4090,1487,1178,6755,-605,1
12197,8272,3670,1248,13190,-993,1
10611,6637,3382,1820,11839,-1228,1
8228,5491,1099,529,7119,1109,1
13713,8353,4620,3910,16883,-3170,1
9768,5406,2648,607,8661,1107,1
12812,7071,5124,2265,14460,-1648,1
10603,6574,3735,879,11188,-585,1
6180,3982,1498,670,6150,30,1
14563,8472,2689,420,11581,2982,0
10151,5726,3642,1263,10631,-480,1
11321,4959,3065,953,8977,2344,0
11492,7900,2864,1098,11862,-370,1
12240,6973,3278,3546,13797,-1557,1
12884,5626,4186,2059,11871,1013,1
4681,3042,633,1324,4999,-318,1
8489,5937,2521,1594,10052,-1563,1
6575,2885,1920,970,5775,800,1
4813,2830,1516,572,4918,-105,1
5643,2777,2241,123,5141,502,1
5057,2257,1871,742,4870,187,1
5447,3086,2095,692,5873,-426,1
5090,2588,1737,1395,5720,-630,1
4010,2074,1321,928,4323,-313,1
8180,5517,988,301,6806,1374,1
8682,4704,1424,1612,7740,942,1
11886,6696,4477,1109,12282,-396,1
8380,5478,1887,1635,9000,-620,1
8367,5103,3340,158,8601,-234,1
13476,6217,4394,2371,12982,494,1
10788,6020,3028,1760,10808,-20,1
4657,2834,786,1038,4658,-1,1
5368,2607,1771,349,4727,641,1
6228,4306,1446,1450,7202,-974,1
11509,6238,2888,2042,11168,341,1
11864,7277,4496,1312,13085,-1221,1
7784,4118,2605,509,7232,552,1
10500,4472,3324,1545,9341,1159,1
9792,4830,3473,2793,11096,-1304,1
8170,4000,3118,1422,8540,-370,1
7310,4991,1333,18,6342,968,1
5410,2370,994,672,4036,1374,0
8590,5573,3313,509,9395,-805,1
14392,9272,4801,1492,15565,-1173,1
8390,5625,1805,405,7835,555,1
14834,8859,4140,1134,14133,701,1
6655,4053,919,984,5956,699,1
7101,2963,2331,1011,6305,796,1
8514,4852,2932,1226,9010,-496,1
7741,3688,1863,2104,7655,86,1
5494,2649,572,12,3233,2261,0
10101,5332,2558,2308,10198,-97,1
4377,2807,1243,807,4857,-480,1
4905,2518,930,1393,4841,64,1
11124,7600,2486,1143,11229,-105,1
6593,2734,791,1360,4885,1708,0
5146,3454,545,196,4195,951,1
6625,4197,1979,1312,7488,-863,1
13341,7938,2951,1216,12105,1236,1
14055,6572,4181,3846,14599,-544,1
10839,6284,2599,2181,11064,-225,1
6861,4118,1232,418,5768,1093,1
8826,3975,2775,969,7719,1107,1
8020,5392,2281,1574,9247,-1227,1
8944,4332,3240,2520,10092,-1148,1
7399,3648,2165,888,6701,698,1
7545,5008,2153,1787,8948,-1403,1
8023,4368,854,1367,6589,1434,1
10003,6836,2109,1434,10379,-376,1
12945,5707,3650,2543,11900,1045,1
13211,8865,3020,1188,13073,138,1
8381,4814,1454,1839,8107,274,1
13031,6332,1886,2617,10835,2196,1
12340,6918,4151,3331,14400,-2060,1
6708,4323,1255,1126,6704,4,1
11456,4981,3549,1359,9889,1567,1
10435,5986,2137,568,8691,1744,1
9789,6295,1020,2803,10118,-329,1
13965,5625,1648,2343,9616,4349,0
11636,5360,3774,116,9250,2386,0
9272,4603,2326,474,7403,1869,0
8764,4314,3419,269,8002,762,1
5830,3408,650,709,4767,1063,1
13484,6050,4608,2151,12809,675,1
7621,3689,1794,620,6103,1518,1
10130,5968,1455,2147,9570,560,1
12921,6476,2937,3608,13021,-100,1
13783,9279,3589,1977,14845,-1062,1
8577,3642,3393,153,7188,1389,1
11483,4662,1175,1932,7769,3714,0
10896,5667,1404,1892,8963,1933,1
14857,8331,4390,178,12899,1958,1
7263,3792,2658,23,6473,790,1
5889,2628,658,221,3507,2382,0
11006,7011,2953,1651,11615,-609,1
9838,4621,2284,1142,8047,1791,1
8176,3659,2058,2303,8020,156,1
8155,4545,2789,1192,8526,-371,1
7793,4155,1221,1834,7210,583,1
13705,6559,2362,2508,11429,2276,1
13073,6752,2958,2295,12005,1068,1
14394,6777,1596,329,8702,5692,0
8539,5297,1935,2015,9247,-708,1
9919,6521,2231,2467,11219,-1300,1
13176,7225,3196,208,10629,2547,1
10635,4570,3871,2176,10617,18,1
7473,4690,2039,1819,8548,-1075,1
6872,4153,2107,1099,7359,-487,1
7160,3644,2363,1523,7530,-370,1
8477,4963,1378,1494,7835,642,1
11638,5507,2528,3289,11324,314,1
11918,7011,2086,1714,10811,1107,1
12993,5268,2932,152,8352,4641,0
5959,2438,916,357,3711,2248,0
5677,3269,1101,1591,5961,-284,1
6829,2789,2699,187,5675,1154,1
6268,3476,1043,965,5484,784,1
6500,3892,2416,813,7121,-621,1
8446,4300,2341,669,7310,1136,1
11162,7012,2045,3001,12058,-896,1
9436,5410,2357,27,7794,1642,1
9618,5633,3556,2689,11878,-2260,1
13164,6184,4585,1369,12138,1026,1
4305,1899,894,1284,4077,228,1
5861,3271,1156,1107,5534,327,1
10142,4143,1506,3037,8686,1456,1
14704,7133,2553,3497,13183,1521,1
11198,5596,4207,2113,11916,-718,1
14535,8276,5317,3927,17520,-2985,1
13403,6225,5289,1700,13214,189,1
8464,4394,2329,1113,7836,628,1
8008,5557,3098,2052,10707,-2699,1
8710,4422,2563,1214,8199,511,1
12018,5884,3591,1217,10692,1326,1
7668,3789,2042,1099,6930,738,1
8654,5247,2672,2212,10131,-1477,1
14327,5783,4209,240,10232,4095,0
13066,5575,2324,1810,9709,3357,0
13337,8684,4865,3696,17245,-3908,1
10619,7395,2077,3144,12616,-1997,1
6102,4168,821,1421,6410,-308,1
12332,8450,4764,747,13961,-1629,1
11458,6633,1225,287,8145,3313,0
5572,3489,2121,704,6314,-742,1
7089,4010,2644,152,6806,283,1
11946,5547,4593,1836,11976,-30,1
12232,7584,3275,1665,12524,-292,1
12245,6749,1714,2761,11224,1021,1
10474,6099,1610,1114,8823,1651,1
13434,7654,2587,3565,13806,-372,1
4215,2485,982,103,3570,645,1
9904,5712,2627,355,8694,1210,1
12535,8733,2446,721,11900,635,1
11095,6019,3081,2471,11571,-476,1
8329,3523,1261,184,4968,3361,0
12654,7835,4023,1905,13763,-1109,1
4677,2680,1366,408,4454,223,1
9032,4123,2337,2626,9086,-54,1
4606,2833,1433,1002,5268,-662,1
14725,7802,4193,3018,15013,-288,1
5295,3512,1199,1538,6249,-954,1
7306,3527,2869,105,6501,805,1
12499,7793,2541,2687,13021,-522,1
6470,4376,1450,180,6006,464,1
8312,5664,2502,220,8386,-74,1
13400,9213,4549,1227,14989,-1589,1
7091,3553,1943,1866,7362,-271,1
12991,7044,3481,3790,14315,-1324,1
9720,5645,1990,1115,8750,970,1
11439,7705,1227,704,9636,1803,1
9356,5509,3137,2208,10854,-1498,1
10798,5885,3799,186,9870,928,1
14277,8819,2310,691,11820,2457,1
7840,4928,2162,101,7191,649,1
6224,3608,1517,792,5917,307,1
10188,5779,3281,607,9667,521,1
9781,5393,1921,545,7859,1922,1
9999,6380,2115,1685,10180,-181,1
4573,3079,464,1130,4673,-100,1
7768,5410,2997,2085,10492,-2724,1
13861,6583,1618,213,8414,5447,0
4035,1763,571,230,2564,1471,0
11839,6859,1864,84,8807,3032,0
6587,4322,1721,933,6976,-389,1
8930,4314,2128,1781,8223,707,1
14031,9510,2379,487,12376,1655,1
12473,8072,2213,443,10728,1745,1
13406,7735,1568,3349,12652,754,1
6110,4040,1265,1048,6353,-243,1
9129,4209,3188,513,7910,1219,1
4227,2818,1550,1135,5503,-1276,1
14949,8626,5964,1241,15831,-882,1
11520,7130,3239,1326,11695,-175,1
11864,8213,2351,501,11065,799,1
14945,8615,3580,1017,13212,1733,1
10942,7555,3940,477,11972,-1030,1
5232,2744,1740,491,4975,257,1
10235,4196,2769,524,7489,2746,0
9511,5686,1977,1737,9400,111,1
4068,1634,408,1124,3166,902,0
7112,3843,2708,627,7178,-66,1
4469,2674,1684,1007,5365,-896,1
7391,3367,1564,49,4980,2411,0
4292,2651,592,309,3552,740,1
4553,2847,870,1226,4943,-390,1
8720,5092,1386,1564,8042,678,1
14356,5859,1593,480,7932,6424,0
11727,4880,1646,1426,7952,3775,0
14153,6338,4073,1911,12322,1831,1
10932,6718,1204,1508,9430,1502,1
4376,2014,1046,601,3661,715,1
10288,5765,1471,1387,8623,1665,1
4066,1846,1490,471,3807,259,1
14777,10222,4531,1506,16259,-1482,1
7586,5150,2149,1458,8757,-1171,1
4554,2272,1311,1316,4899,-345,1
14988,7056,1639,3834,12529,2459,1
7696,4762,1482,1853,8097,-401,1
13982,6073,3988,3391,13452,530,1
7497,3797,1025,251,5073,2424,0
13732,6078,4233,3732,14043,-311,1
7246,3097,2542,237,5876,1370,1
11539,8004,1498,1309,10811,728,1
13678,5760,5203,2392,13355,323,1
4673,2895,1397,1333,5625,-952,1
9693,4367,3546,1495,9408,285,1
7797,5391,2625,498,8514,-717,1
4862,1987,1841,956,4784,78,1
14228,8489,5335,1668,15492,-1264,1
14165,7208,3169,3684,14061,104,1
5064,2623,766,595,3984,1080,0
7856,4461,1082,1059,6602,1254,1
5404,2206,1757,1259,5222,182,1
10220,4139,3736,2364,10239,-19,1
14500,6319,1883,4284,12486,2014,1
9415,5805,2596,1119,9520,-105,1
11399,7325,3310,1237,11872,-473,1
10320,5783,1096,145,7024,3296,0
12837,6810,3563,1792,12165,672,1
10573,6648,3536,2088,12272,-1699,1
12845,7716,4030,2309,14055,-1210,1
13767,9020,3220,698,12938,829,1
8481,5776,1356,1300,8432,49,1
5682,3946,902,622,5470,212,1
6590,2752,1099,743,4594,1996,0
11310,6027,4356,1643,12026,-716,1
4401,2358,618,62,3038,1363,0
13939,7695,1722,1401,10818,3121,0
7146,4763,1933,935,7631,-485,1
8324,3539,922,2312,6773,1551,1
9623,6268,1287,2082,9637,-14,1
5104,2983,1774,938,5695,-591,1
4907,3044,1301,161,4506,401,1
13293,6331,3912,711,10954,2339,1
9178,5228,1520,148,6896,2282,0
4088,1874,411,1127,3412,676,1
14587,7457,2062,2896,12415,2172,1
10509,6250,3328,634,10212,297,1
6878,2962,1512,214,4688,2190,0
14765,10188,1860,4362,16410,-1645,1
12795,5666,4513,1609,11788,1007,1
9376,6033,1757,1495,9285,91,1
14246,8639,2849,461,11949,2297,1
4414,2459,489,836,3784,630,1
5266,2604,1771,1062,5437,-171,1
6705,3128,794,620,4542,2163,0
13480,9002,1854,1076,11932,1548,1
10663,5139,3264,833,9236,1427,1
5834,2509,1319,1042,4870,964,1
10254,4817,3269,2557,10643,-389,1
14897,10323,2589,2957,15869,-972,1
12075,6968,2936,869,10773,1302,1
5611,2273,1946,1004,5223,388,1
9243,4008,2207,2728,8943,300,1
7450,4151,2333,95,6579,871,1
8243,4391,1434,2408,8233,10,1
4881,2007,1515,1376,4898,-17,1
10660,5496,3633,2212,11341,-681,1
8427,5663,3250,1409,10322,-1895,1
12143,4883,3781,1177,9841,2302,1
12040,5746,3018,2513,11277,763,1
13947,7256,4911,289,12456,1491,1
10591,4654,3081,569,8304,2287,0
9522,5008,2180,2007,9195,327,1
10132,4239,3867,1732,9838,294,1
11576,6600,1386,3066,11052,524,1
13191,7274,1836,2517,11627,1564,1
10963,4557,4246,2621,11424,-461,1
7107,4321,854,512,5687,1420,1
12545,8195,3998,711,12904,-359,1
7633,5011,2923,2113,10047,-2414,1
12498,5359,1569,371,7299,5199,0
4599,2178,1384,130,3692,907,1
12124,6686,3128,321,10135,1989,1
5547,3856,1069,1504,6429,-882,1
14491,8798,3403,920,13121,1370,1
9882,5209,3902,1306,10417,-535,1
8903,3773,3202,770,7745,1158,1
13538,8465,1632,2900,12997,541,1
14883,10365,3431,1281,15077,-194,1
5690,2966,1316,445,4727,963,1
9751,4725,1778,2744,9247,504,1
11029,6573,2962,2119,11654,-625,1
12562,7991,3608,310,11909,653,1
9066,4692,3258,2263,10213,-1147,1
7969,4932,1759,261,6952,1017,1
14841,9010,1886,1429,12325,2516,1
13158,5568,3645,2532,11745,1413,1
10919,5713,1275,2032,9020,1899,1
5655,2380,578,1083,4041,1614,0
4026,2373,855,323,3551,475,1
5458,3644,862,905,5411,47,1
8327,3886,1005,271,5162,3165,0
14687,7445,1761,1583,10789,3898,0
13599,7249,4151,976,12376,1223,1
6677,4358,2483,485,7326,-649,1
5026,2704,1436,1176,5316,-290,1
13680,6080,5402,137,11619,2061,1
9320,6507,3406,2290,12203,-2883,1
14899,9083,3573,134,12790,2109,1
12740,7637,3991,3178,14806,-2066,1
4306,2773,673,377,3823,483,1
10134,4116,3700,1740,9556,578,1
14912,10346,4539,3219,18104,-3192,1
14906,10156,4737,2791,17684,-2778,1
14782,6036,3319,3321,12676,2106,1
4470,2642,849,1029,4520,-50,1
13805,7129,2728,2401,12258,1547,1
13791,8025,3558,3108,14691,-900,1
8193,5299,2339,1226,8864,-671,1
14444,6197,4574,4213,14984,-540,1
10444,4379,1783,3039,9201,1243,1
4981,2710,743,1485,4938,43,1
4010,2041,417,1041,3499,511,1
14972,10177,4013,2424,16614,-1642,1
10071,5194,2518,1652,9364,707,1
5710,2556,1918,865,5339,371,1
11636,7113,2010,2538,11661,-25,1
11236,7411,2777,1272,11460,-224,1
11694,8058,4056,3429,15543,-3849,1
